,pct_veg,gridcell,pft,biome
9,0.0,18,broadleaf_evergreen_shrub,3.0
10,41.54319615234937,18,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,18,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,18,c3_arctic_grass,3.0
13,29.188196947944505,18,c3_non-arctic_grass,3.0
14,1.766914303064082e-08,18,c4_grass,3.0
15,0.017999029083991758,18,c3_crop,3.0
16,0.0,18,c3_irrigated,3.0
0,19.43203873064313,19,not_vegetated,3.0
1,0.0,19,needleleaf_evergreen_temperate_tree,3.0
2,0.0,19,needleleaf_evergreen_boreal_tree,3.0
3,0.0,19,needleleaf_deciduous_boreal_tree,3.0
4,0.0,19,broadleaf_evergreen_tropical_tree,3.0
5,4.112959894864728,19,broadleaf_evergreen_temperate_tree,3.0
6,0.0,19,broadleaf_deciduous_tropical_tree,3.0
7,7.362440924071718,19,broadleaf_deciduous_temperate_tree,3.0
8,0.0,19,broadleaf_deciduous_boreal_tree,3.0
9,1.3428250830727073e-08,19,broadleaf_evergreen_shrub,3.0
10,34.068197460808086,19,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,19,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,19,c3_arctic_grass,3.0
13,33.398142717594844,19,c3_non-arctic_grass,3.0
14,0.0,19,c4_grass,3.0
15,1.6262185180684003,19,c3_crop,3.0
16,0.0,19,c3_irrigated,3.0
0,6.735795584552329,20,not_vegetated,6.0
1,0.0,20,needleleaf_evergreen_temperate_tree,6.0
2,0.0,20,needleleaf_evergreen_boreal_tree,6.0
3,0.0,20,needleleaf_deciduous_boreal_tree,6.0
4,0.0,20,broadleaf_evergreen_tropical_tree,6.0
5,6.987196165355713,20,broadleaf_evergreen_temperate_tree,6.0
6,0.0,20,broadleaf_deciduous_tropical_tree,6.0
7,0.36929531969071006,20,broadleaf_deciduous_temperate_tree,6.0
8,0.0,20,broadleaf_deciduous_boreal_tree,6.0
9,0.0,20,broadleaf_evergreen_shrub,6.0
10,0.7655037878123885,20,broadleaf_deciduous_temperate_shrub,6.0
11,0.0,20,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,20,c3_arctic_grass,6.0
13,18.433625421252835,20,c3_non-arctic_grass,6.0
14,21.062574133597337,20,c4_grass,6.0
15,41.42583826600921,20,c3_crop,6.0
16,0.0010934895518976973,20,c3_irrigated,6.0
0,3.834771602692633e-09,21,not_vegetated,2.0
1,0.0,21,needleleaf_evergreen_temperate_tree,2.0
2,0.0,21,needleleaf_evergreen_boreal_tree,2.0
3,0.0,21,needleleaf_deciduous_boreal_tree,2.0
4,0.40362022044622636,21,broadleaf_evergreen_tropical_tree,2.0
5,27.85753755636036,21,broadleaf_evergreen_temperate_tree,2.0
6,0.05808420809002236,21,broadleaf_deciduous_tropical_tree,2.0
7,2.2453110240958347,21,broadleaf_deciduous_temperate_tree,2.0
8,0.0,21,broadleaf_deciduous_boreal_tree,2.0
9,0.0,21,broadleaf_evergreen_shrub,2.0
10,0.00016000429491750713,21,broadleaf_deciduous_temperate_shrub,2.0
11,0.0,21,broadleaf_deciduous_boreal_shrub,2.0
12,0.0,21,c3_arctic_grass,2.0
13,25.754930575531397,21,c3_non-arctic_grass,2.0
14,21.82384131227988,21,c4_grass,2.0
